DATETIME;IDR
2020-05-08;14967.499769
2020-05-09;14967.499769
2020-05-10;14967.499769
2020-05-11;14968.883962
2020-05-12;14803.499724
2020-05-13;14797.480460
2020-05-14;14950.704225
2020-05-15;14935.932580
2020-05-16;14935.932580
2020-05-17;14935.932580
2020-05-18;14842.549852
2020-05-19;14773.972603
2020-05-20;14717.503194
2020-05-21;14732.500000
2020-05-22;14901.999266
2020-05-23;14901.999266
2020-05-24;14901.999266
2020-05-25;14710.000000
2020-05-26;14754.997722
2020-05-27;14709.999090
2020-05-28;14714.996369
2020-05-29;14610.003592
2020-05-30;14610.003592
2020-05-31;14610.003592
2020-06-01;14610.003598
2020-06-02;14414.999105
2020-06-03;14190.950509
2020-06-04;14095.004444
2020-06-05;14018.005296
2020-06-06;14018.005296
2020-06-07;14018.005296
2020-06-08;14014.550288
2020-06-09;14093.500974
2020-06-10;14085.301099
2020-06-11;14014.998238
2020-06-12;14205.803255
2020-06-13;14205.803255
2020-06-14;14205.803255
2020-06-15;14253.603484
2020-06-16;14130.049522
2020-06-17;14198.753561
2020-06-18;14085.002673
2020-06-19;14208.447814
2020-06-20;14208.447814
2020-06-21;14208.447814
2020-06-22;14259.002943
2020-06-23;14160.001767
2020-06-24;14168.501773
2020-06-25;14275.000000
2020-06-26;14220.003567
2020-06-27;14220.003567
2020-06-28;14220.003567
2020-06-29;14368.202765
2020-06-30;14452.946955
2020-07-01;14265.000000
2020-07-02;14378.504342
2020-07-03;14509.996436
2020-07-04;14509.996436
2020-07-05;14509.996436
2020-07-06;14417.660044
2020-07-07;14440.000000
2020-07-08;14414.318625
2020-07-09;14395.000882
2020-07-10;14435.003547
2020-07-11;14435.003547
2020-07-12;14435.003547
2020-07-13;14424.997793
2020-07-14;14450.004396
2020-07-15;14587.504369
2020-07-16;14625.004381
2020-07-17;14695.003500
2020-07-18;14695.003500
2020-07-19;14695.003500
2020-07-20;14785.001747
2020-07-21;14707.681552
2020-07-22;14569.001555
2020-07-23;14649.494338
2020-07-24;14629.565817
2020-07-25;14629.565817
2020-07-26;14629.565817
2020-07-27;14520.000000
2020-07-28;14535.000427
2020-07-29;14535.002132
2020-07-30;14600.000000
2020-07-31;14655.638082
2020-08-01;14655.638082
2020-08-02;14655.638082
2020-08-03;14714.310080
2020-08-04;14684.997875
2020-08-05;14550.000000
2020-08-06;14611.162712
2020-08-07;14670.000846
2020-08-08;14670.000846
2020-08-09;14670.000846
